RA,DEC,dis,RA_NEOWISE,DEC_NEOWISE,w1mpro,w1sigmpro,w2mpro,w2sigmpro,ph_qual,separation,match_arcsec,opt_index,opt_ra,opt_dec,opt_source_file,tile_id
149.3211296,29.7599849,150128.19503248,149.3211957,29.7595294,16.608,0.388,14.793,0.319,CB,1.6527606848915402,1.825559501796862,74376,149.32095774428757,29.759992516638786,data/tiles/tile-RA149.494-DEC+29.966/catalogs/sextractor_pass2.csv,tile-RA149.494-DEC+29.966
166.2782961,54.887498,201705.78926575,166.2786634,54.8873921,16.524,0.361,14.892,,CU,0.8507572020753913,0.832152951801533,146777,166.2783186863847,54.88751092500932,data/tiles/tile-RA166.175-DEC+54.793/catalogs/sextractor_pass2.csv,tile-RA166.175-DEC+54.793
124.4601819,43.6710743,237026.24109241,124.4605622,43.6708691,16.576,0.37,14.868,,CU,1.2354592816938257,1.4010289742205373,64939,124.46030705829092,43.67121173544079,data/tiles/tile-RA124.577-DEC+43.797/catalogs/sextractor_pass2.csv,tile-RA124.577-DEC+43.797
166.5704921,54.7020919,200893.82739045,166.5707108,54.7015523,15.776,0.324,15.614,,BU,1.9951211313317896,1.7829893545833393,146956,166.57057763758803,54.70204156257354,data/tiles/tile-RA166.175-DEC+54.793/catalogs/sextractor_pass2.csv,tile-RA166.175-DEC+54.793
251.8765052,37.4065443,272499.79466263,251.876977,37.4069797,15.933,0.3,15.314,,BU,2.0681254586391127,1.9051071395594568,12272,251.8766150291796,37.40653542989331,data/tiles/tile-RA251.984-DEC+37.526/catalogs/sextractor_pass2.csv,tile-RA251.984-DEC+37.526
164.9219143,53.0372333,196227.4490011,164.9216283,53.0375784,16.501,0.499,14.849,,CU,1.3880680866140125,1.2965138414570745,155369,164.9219126040179,53.03726141571772,data/tiles/tile-RA164.881-DEC+53.051/catalogs/sextractor_pass2.csv,tile-RA164.881-DEC+53.051
269.3802196,66.4888836,323109.92493597,269.3803987,66.4888802,16.135,0.269,15.169,,BU,0.2575032507459462,0.2109832057221277,143398,269.38054554614035,66.48887838660852,data/tiles/tile-RA269.045-DEC+66.329/catalogs/sextractor_pass2.csv,tile-RA269.045-DEC+66.329
339.9961873,48.2526552,463434.67365742,339.9955231,48.2529663,17.165,,14.269,0.344,UB,1.9465718637551404,1.4069501681076568,158296,339.9959829523927,48.252723427383565,data/tiles/tile-RA340.168-DEC+48.327/catalogs/sextractor_pass2.csv,tile-RA340.168-DEC+48.327
180.37754,26.5185889,95475.893631371,180.377537,26.5183436,15.903,0.37,14.777,,CU,0.8831328746205066,1.0659891576790776,5735,180.3778483180954,26.518243197775583,data/tiles/tile-RA180.556-DEC+26.515/catalogs/sextractor_pass2.csv,tile-RA180.556-DEC+26.515
180.0733312,60.9377344,219375.93772401,180.0738416,60.9382419,16.357,0.331,14.128,,BU,2.0333641761332366,1.519427048216831,10487,180.07357083331183,60.93784085399719,data/tiles/tile-RA180.473-DEC+60.951/catalogs/sextractor_pass2.csv,tile-RA180.473-DEC+60.951
346.8904779,29.1371081,533833.75359236,346.8906839,29.1368887,16.843,,14.716,0.352,UB,1.0214869753440508,1.911779831578242,82151,346.89023125465303,29.1372432418336,data/tiles/tile-RA346.827-DEC+29.323/catalogs/sextractor_pass2.csv,tile-RA346.827-DEC+29.323
24.5998711,17.4076818,540648.94205692,24.5993358,17.4076839,16.37,0.495,14.631,,CU,1.8388357031469047,1.89817958525984,40912,24.599888139269456,17.407668331699103,data/tiles/tile-RA24.346-DEC+17.497/catalogs/sextractor_pass2.csv,tile-RA24.346-DEC+17.497
131.4249663,43.7982734,221306.22068901,131.4254353,43.7988426,16.298,0.419,15.654,,CU,2.384113899489973,1.9569205374202607,162037,131.42488943795232,43.79846808694078,data/tiles/tile-RA131.471-DEC+43.572/catalogs/sextractor_pass2.csv,tile-RA131.471-DEC+43.572
166.0182005,55.0185239,202312.50801806,166.0176287,55.0182088,16.503,0.345,15.006,0.483,BC,1.6369296056844456,1.8106990585321483,146651,166.01812645350043,55.018622979132125,data/tiles/tile-RA166.175-DEC+54.793/catalogs/sextractor_pass2.csv,tile-RA166.175-DEC+54.793
215.1228892,60.0384761,237205.25854574,215.1227427,60.0380502,15.942,0.263,14.765,,BU,1.5556997724006492,1.996785039837811,182608,215.12310045181337,60.03857529706747,data/tiles/tile-RA215.302-DEC+59.974/catalogs/sextractor_pass2.csv,tile-RA215.302-DEC+59.974
312.4487815,5.5882363,475920.72566801,312.4487793,5.5882247,16.861,0.497,14.615,0.311,CB,0.0424974021621702,0.6199353388916923,42276,312.4486221760009,5.588152589459621,data/tiles/tile-RA312.242-DEC+5.349/catalogs/sextractor_pass2.csv,tile-RA312.242-DEC+5.349
176.5794214,10.4983058,39728.005163828,176.5793747,10.4980417,16.936,,14.57,0.358,UC,0.9650236174963128,1.017867265309812,183673,176.57943847006322,10.4983174017771,data/tiles/tile-RA176.685-DEC+10.694/catalogs/sextractor_pass2.csv,tile-RA176.685-DEC+10.694
266.7163625,63.5553085,318737.97842823,266.7158534,63.555178,14.639,0.092,15.649,,AU,0.9417435432867506,0.7372505051117962,173245,266.71612566575243,63.5550129606253,data/tiles/tile-RA266.798-DEC+63.680/catalogs/sextractor_pass2.csv,tile-RA266.798-DEC+63.680
126.085391,7.6879628,195440.66166931,126.0854404,7.6879306,16.252,0.263,14.615,,BU,0.2109466732844108,0.1097919713645934,47752,126.0854265878682,7.687903333562363,data/tiles/tile-RA126.298-DEC+7.735/catalogs/sextractor_pass2.csv,tile-RA126.298-DEC+7.735
192.7812067,7.485825,53209.797255791,192.7808843,7.4853638,15.947,0.25,15.247,,BU,2.020120016702178,1.842767443545788,183332,192.7811811721937,7.485782587923407,data/tiles/tile-RA193.024-DEC+7.683/catalogs/sextractor_pass2.csv,tile-RA193.024-DEC+7.683
164.4676456,52.93114,196185.36251945,164.4676857,52.9311071,16.39,0.282,15.425,,BU,0.1469690891639061,0.4881197688981121,155458,164.46757239553773,52.93122423123957,data/tiles/tile-RA164.881-DEC+53.051/catalogs/sextractor_pass2.csv,tile-RA164.881-DEC+53.051
126.2314127,7.6566774,194911.21501683,126.2316043,7.6568914,16.245,,14.667,0.409,UC,1.0299703429719589,0.9675302292994866,47834,126.23140157771974,7.656712893471347,data/tiles/tile-RA126.298-DEC+7.735/catalogs/sextractor_pass2.csv,tile-RA126.298-DEC+7.735
278.2120669,37.7994114,347329.70012603,278.2115777,37.7995955,16.162,0.36,15.206,,CU,1.541333821761785,0.1865035651160871,96580,278.2116338529541,37.79956874370899,data/tiles/tile-RA278.181-DEC+38.044/catalogs/sextractor_pass2.csv,tile-RA278.181-DEC+38.044
145.4439419,3.7075375,125027.22790541,145.4436224,3.7071793,15.315,0.222,14.951,,BU,1.726351819829464,1.75417718772647,78721,145.44395565636032,3.707535443793766,data/tiles/tile-RA145.566-DEC+3.649/catalogs/sextractor_pass2.csv,tile-RA145.566-DEC+3.649
145.2278179,86.128198,312553.39897045,145.2270715,86.1280764,16.326,0.333,14.975,,BU,0.473872850047883,0.4400704186406512,127473,145.22750416431305,86.12819509709544,data/tiles/tile-RA146.666-DEC+85.963/catalogs/sextractor_pass2.csv,tile-RA146.666-DEC+85.963
