row_id,NUMBER,tile_id,plate_id,date_obs_iso,has_vosa_like_match,is_supercosmos_artifact,ptf_match_ngood,is_known_variable_or_transient,skybot_strict,skybot_wide,RA,Dec
tile-RA272.218-DEC-22.978:8314,8314,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.0740051269531,-22.88038444519043
tile-RA272.218-DEC-22.978:8339,8339,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.4332275390625,-22.88442611694336
tile-RA285.312-DEC-28.864:6905,6905,tile-RA285.312-DEC-28.864,XE925,1954-09-21T03:10:00,False,False,False,False,False,False,285.3363342285156,-28.680898666381836
tile-RA285.312-DEC-28.864:7216,7216,tile-RA285.312-DEC-28.864,XE925,1954-09-21T03:10:00,False,False,False,False,False,False,285.1673583984375,-28.69976234436035
tile-RA285.312-DEC-28.864:7263,7263,tile-RA285.312-DEC-28.864,XE925,1954-09-21T03:10:00,False,False,False,False,False,False,285.1801452636719,-28.703731536865234
tile-RA284.976-DEC-25.071:7369,7369,tile-RA284.976-DEC-25.071,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,284.7045593261719,-24.88801383972168
tile-RA321.957-DEC+47.091:6852,6852,tile-RA321.957-DEC+47.091,XE187,1952-09-14T04:03:00,False,False,False,False,False,False,322.025390625,47.28384017944336
tile-RA321.957-DEC+47.091:6862,6862,tile-RA321.957-DEC+47.091,XE187,1952-09-14T04:03:00,False,False,False,False,False,False,321.8535461425781,47.278350830078125
tile-RA298.719-DEC+5.517:5608,5608,tile-RA298.719-DEC+5.517,XE573,1950-07-11T09:05:00,False,False,False,False,False,False,298.5833435058594,5.562565326690674
tile-RA310.484-DEC+28.993:5873,5873,tile-RA310.484-DEC+28.993,XE340,1953-06-15T10:12:00,False,False,False,False,False,False,310.2472839355469,29.0123291015625
tile-RA310.484-DEC+28.993:5944,5944,tile-RA310.484-DEC+28.993,XE340,1953-06-15T10:12:00,False,False,False,False,False,False,310.2558898925781,29.00688362121582
tile-RA330.918-DEC+51.019:5608,5608,tile-RA330.918-DEC+51.019,XE188,1952-09-16T05:30:00,False,False,False,False,False,False,330.9626770019531,51.09626388549805
tile-RA284.976-DEC-25.071:5959,5959,tile-RA284.976-DEC-25.071,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,285.19976806640625,-25.01096534729004
tile-RA284.976-DEC-25.071:5985,5985,tile-RA284.976-DEC-25.071,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,285.1943054199219,-25.00975227355957
tile-RA283.461-DEC-29.326:8721,8721,tile-RA283.461-DEC-29.326,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,283.17364501953125,-29.23697853088379
tile-RA337.752-DEC+53.504:7021,7021,tile-RA337.752-DEC+53.504,XE146,1952-09-12T05:33:00,False,False,False,False,False,False,337.7629089355469,53.683040618896484
tile-RA275.203-DEC+4.205:7651,7651,tile-RA275.203-DEC+4.205,XE570,1950-07-10T07:27:00,False,False,False,False,False,False,274.9543151855469,4.345182418823242
tile-RA106.187-DEC-25.198:6978,6978,tile-RA106.187-DEC-25.198,XE841,1955-02-12T05:13:00,False,False,False,False,False,False,106.10692596435547,-25.017623901367188
tile-RA106.187-DEC-25.198:6986,6986,tile-RA106.187-DEC-25.198,XE841,1955-02-12T05:13:00,False,False,False,False,False,False,106.39263153076172,-25.014904022216797
tile-RA106.187-DEC-25.198:7002,7002,tile-RA106.187-DEC-25.198,XE841,1955-02-12T05:13:00,False,False,False,False,False,True,106.20071411132812,-25.01604652404785
tile-RA106.187-DEC-25.198:7045,7045,tile-RA106.187-DEC-25.198,XE841,1955-02-12T05:13:00,False,False,False,False,False,False,105.95748138427734,-25.018611907958984
tile-RA106.187-DEC-25.198:7184,7184,tile-RA106.187-DEC-25.198,XE841,1955-02-12T05:13:00,False,False,False,False,False,False,106.27466583251953,-25.01771354675293
tile-RA106.187-DEC-25.198:7225,7225,tile-RA106.187-DEC-25.198,XE841,1955-02-12T05:13:00,False,False,False,False,False,False,105.94503021240234,-25.029144287109375
tile-RA106.187-DEC-25.198:7228,7228,tile-RA106.187-DEC-25.198,XE841,1955-02-12T05:13:00,False,False,False,False,False,True,106.45380401611328,-25.030765533447266
tile-RA106.187-DEC-25.198:7244,7244,tile-RA106.187-DEC-25.198,XE841,1955-02-12T05:13:00,False,False,False,False,False,True,106.43257904052734,-25.032453536987305
tile-RA290.162-DEC+23.879:5987,5987,tile-RA290.162-DEC+23.879,XE392,1950-06-15T09:45:00,False,False,False,False,False,False,290.16558837890625,24.12650489807129
tile-RA299.976-DEC+15.116:5979,5979,tile-RA299.976-DEC+15.116,XE514,1951-08-24T05:58:00,False,False,False,False,False,False,300.2153625488281,15.14947509765625
tile-RA258.634-DEC-26.667:9025,9025,tile-RA258.634-DEC-26.667,XE865,1950-07-12T06:00:00,False,False,False,False,False,False,258.6427307128906,-26.426513671875
tile-RA258.634-DEC-26.667:9196,9196,tile-RA258.634-DEC-26.667,XE865,1950-07-12T06:00:00,False,False,False,False,False,False,258.6460876464844,-26.42728614807129
tile-RA258.634-DEC-26.667:9316,9316,tile-RA258.634-DEC-26.667,XE865,1950-07-12T06:00:00,False,False,False,False,False,False,258.59515380859375,-26.434907913208008
tile-RA115.748-DEC-24.752:7115,7115,tile-RA115.748-DEC-24.752,XE843,1951-11-08T12:15:00,False,False,False,False,False,False,115.70124816894531,-24.573671340942383
tile-RA115.748-DEC-24.752:7467,7467,tile-RA115.748-DEC-24.752,XE843,1951-11-08T12:15:00,False,False,False,False,False,False,115.51112365722656,-24.58763885498047
tile-RA286.279-DEC-24.171:7636,7636,tile-RA286.279-DEC-24.171,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,286.2109069824219,-24.009292602539062
